fpr,tpr
0.0,0.0
0.0010122595883477674,0.7424328954882924
0.0011247328759419637,0.7748225503793751
0.0012934428073332583,0.7880394876397161
0.0013496794511303565,0.7966060210491964
0.0015746260263187492,0.8038671779391369
0.0016870993139129456,0.809007097984825
0.0016870993139129456,0.813412743738272
0.0016870993139129456,0.8175736313943053
0.0017433359577100438,0.820837072693155
0.001799572601507142,0.8235294117647058
0.0018558092453042402,0.8265480949661418
0.0018558092453042402,0.829322020070164
0.0019120458891013384,0.832014359141715
0.0019120458891013384,0.8341355959859672
0.0019120458891013384,0.8356041445704495
0.0019120458891013384,0.8372358652198744
0.0019120458891013384,0.8391939299991842
0.0019682825328984368,0.8403361344537815
0.0019682825328984368,0.8419678551032064
0.0020245191766955347,0.8430284735253325
0.002136992464289731,0.8439259198825161
0.0021932291080868295,0.844578608142286
0.0022494657518839275,0.8454760544994697
0.0022494657518839275,0.8463735008566533
0.002361939039478124,0.8471077751488945
0.002361939039478124,0.8489026678632619
0.002361939039478124,0.8497185281879742
0.0024181756832752223,0.8504528024802154
0.0024181756832752223,0.8507791466101003
0.0024181756832752223,0.8511870767724565
0.0024744123270723202,0.8525740393244676
0.0024744123270723202,0.8537978298115363
0.0024744123270723202,0.8543689320388349
0.0025306489708694186,0.8548584482336624
0.0025306489708694186,0.855429550460961
0.0025868856146665166,0.8560006526882598
0.0025868856146665166,0.8568165130129721
0.002643122258463615,0.8573060292077996
0.0027555955460578114,0.8575507873052134
0.0027555955460578114,0.8578771314350984
0.0028118321898549094,0.8585298196948682
0.0028118321898549094,0.858774577792282
0.0028118321898549094,0.8594272660520519
0.0028118321898549094,0.8597536101819369
0.0028118321898549094,0.8609774006690055
0.0028118321898549094,0.8612221587664192
0.0028118321898549094,0.8618748470261891
0.0028118321898549094,0.8627722933833728
0.0028118321898549094,0.8630170514807864
0.0028680688336520078,0.8633433956106714
0.0028680688336520078,0.8636697397405564
0.0028680688336520078,0.8638329118054989
0.0028680688336520078,0.8639144978379701
0.0028680688336520078,0.8646487721302113
0.0028680688336520078,0.8651382883250388
0.0028680688336520078,0.8653014603899812
0.0028680688336520078,0.8657909765848086
0.0028680688336520078,0.8661989067471649
0.0028680688336520078,0.8669331810394061
0.0028680688336520078,0.8673411112017623
0.0028680688336520078,0.8678306273965897
0.0028680688336520078,0.8680753854940034
0.0028680688336520078,0.8682385575589459
0.0028680688336520078,0.8684833156563596
0.0028680688336520078,0.8688096597862446
0.0028680688336520078,0.8688912458187158
0.0028680688336520078,0.8692175899486008
0.0028680688336520078,0.8694623480460145
0.0028680688336520078,0.8697886921758995
0.0028680688336520078,0.8701966223382557
0.0028680688336520078,0.8705229664681406
0.0028680688336520078,0.871012482662968
0.0028680688336520078,0.8710940686954394
0.0029243054774491057,0.8712572407603818
0.0029243054774491057,0.871665170922738
0.003036778765043302,0.8717467569552093
0.003036778765043302,0.8718283429876805
0.0030930154088404005,0.871991515052623
0.0030930154088404005,0.8727257893448641
0.0030930154088404005,0.8731337195072204
